Program ID,Program Title,Institution,Location,Primary Language,Language,Study Format,Duration (in semesters),Total Credits (in ECTS),Degree Type,Specialization,Modality,Tuition Fees,Academic Admission Requirements,Language Admission Requirements,Course Code,Course Title,Course Credits (in ECTS),Course Description,Prerequisites
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 100,Computational Thinking,6.0,"Meaning and impact of computational thinking. Solving problems using computational thinking, testing, debugging. How computers work. No prior computing experience required. Not for students with existing credit for or exemption from CPSC 107, CPSC 110 or APSC 160. [3-1-0]",
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 103,Introduction to Systematic Program Design,6.0,"Computation as a tool for systematic problem solving in non-computer-science disciplines. Introductory programming skills. Not for credit for students who have credit for, or exemption from, or are concurrently taking CPSC 110 or APSC 160. No programming experience expected. [3-0-1]",
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 107,Systematic Program Design,6.0,Fundamental computation and program structures. Continuing systematic program design from CPSC 103. [3-2-0],CPSC 103.
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 110,"Computation, Programs, and Programming",8.0,"Fundamental program and computation structures. Introductory programming skills. Computation as a tool for information processing, simulation and modelling, and interacting with the world. [3-3-0]",
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 121,Models of Computation,8.0,Physical and mathematical structures of computation. Boolean algebra and combinations logic circuits; proof techniques; functions and sequential circuits; sets and relations; finite state machines; sequential instruction execution. [3-2-1],"Principles of Mathematics 12 or Pre-calculus 12. Corequisite: One of CPSC 107, CPSC 110."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 203,"Programming, Problem Solving, and Algorithms",6.0,"Analysis of increasingly complex algorithmic problems, using a modern programming language and a variety of approaches. Problem decomposition and abstraction guide explorations of topics from applied algorithms, for example Voronoi Diagrams, Markov Chains, Bin Packing, and Graph Search. Not for students with credit for, or currently enrolled in, CPSC 210 or CPEN 221. [3-0-1]","One of CPSC 103, CPSC 110, APSC 160, EOSC 211, MATH 210, PHYS 210, COMM 337."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 210,Software Construction,8.0,"Design, development, and analysis of robust software components. Topics such as software design, computational models, data structures, debugging, and testing. [3-2-0]","One of CPSC 107, CPSC 110."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 213,Introduction to Computer Systems,8.0,"Software architecture, operating systems, and I/O architectures. Relationships between application software, operating systems, and computing hardware; critical sections, deadlock avoidance, and performance; principles and operation of disks and networks. [3-3-0]","All of CPSC 121, CPSC 210."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 221,Basic Algorithms and Data Structures,8.0,"Design and analysis of basic algorithms and data structures; algorithm analysis methods, searching and sorting algorithms, basic data structures, graphs and concurrency. [3-2-0]","One of CPSC 210, CPEN 221 and either (a) one of CPSC 121, MATH 220 or (b) a score of 68% or higher in MATH 226."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 259,Data Structures and Algorithms for Electrical Engineers,8.0,"Advanced procedural programming. Fundamental algorithms for sorting and searching. Data structures including lists, trees, and hash tables. Introduction to scripting languages and file input/output. [3-2-0]",APSC 160.
