Program ID,Program Title,Institution,Tuition Fees,tuitionAmounts,tuitionAmountEUR_EU (in semester),tuitionAmountEUR_International (in semester)
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","5626, 9883",,6721.11
